number,type,short_description,category,priority,state,opened_at,resolved_at,assignment_group,region,related_ci
INC0010288,Incident,Order ORD-243449 split incorrectly across fulfilment nodes,Order Fulfilment,4,Resolved,2026-01-10 08:00,2026-01-12 10:52,Fulfilment Tech,Western Cape,OMS-Core-03
INC0010289,Incident,Courier manifest not generated for 8 orders,Order Fulfilment,2,Closed,2026-04-28 14:54,2026-04-29 10:40,Fulfilment Tech,KwaZulu-Natal,OMS-Core-02
INC0010290,Incident,"Loyalty card lookup timing out at till, store W156",WRewards Loyalty,2,On Hold,2025-10-30 09:51,,Loyalty Platform,Gauteng,Loyalty-API-39
INC0010291,Incident,"Primary link down at store W238, all cloud services impacted",Store Network & Connectivity,4,New,2026-06-11 13:37,,Network Ops,Northern Cape,Store-Router-37
CHG0007084,Change Request,Emergency change: click-and-collect orders stuck in allocated for store w299,Order Fulfilment,3,Scheduled,2026-05-26 14:57,,Fulfilment Tech,National / Online,OMS-Core-11
INC0010292,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,1,Closed,2025-07-19 14:19,2025-07-19 21:24,Digital Commerce,Northern Cape,Checkout-Service-20
PRB0004094,Problem,Bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Closed,2026-04-01 17:45,2026-04-02 06:17,Payments Ops,National / Online,EFT-Switch-23
INC0010293,Incident,Till 13 frozen on tender screen at store W132,POS & Tills,3,New,2026-02-05 09:37,,Store Systems,North West,POS-Terminal-20
CHG0007085,Change Request,Config change: wrewards points not awarded on qualifying basket,WRewards Loyalty,4,Scheduled,2026-05-20 20:15,,Loyalty Platform,KwaZulu-Natal,Loyalty-API-30
CHG0007086,Change Request,"Patch release for pos eod batch stuck at store w506, trading day not closed",POS & Tills,3,Scheduled,2025-12-05 09:51,,Store Systems,Western Cape,POS-Terminal-23
INC0010294,Incident,Store W204 receiving not reflecting in inventory ledger,Inventory & Stock Sync,3,Closed,2026-05-28 18:20,2026-05-30 11:28,Merch Systems,KwaZulu-Natal,Stock-Sync-Job-27
PRB0004095,Problem,App login failing with error ERR-452 after release PRM-3683,Mobile App,4,New,2025-10-24 16:57,,Digital Commerce,Gauteng,Mobile-BFF-38
INC0010295,Incident,Checkout payment step returning 502 for 10% of sessions,Online Checkout,2,Closed,2026-05-10 16:17,2026-05-11 10:44,Digital Commerce,Gauteng,Checkout-Service-22
INC0010296,Incident,Push notifications not delivered for order updates,Mobile App,4,New,2025-07-23 19:31,,Digital Commerce,Northern Cape,Mobile-BFF-35
INC0010297,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,3,In Progress,2026-04-29 07:15,,Merch Systems,Mpumalanga,Promo-Engine-27
INC0010298,Incident,Brand attribute overwritten in bulk update — 58 SKUs affected,Product Master Data,4,Closed,2025-11-25 06:24,2025-11-26 12:43,Data Services,Free State,PIM-Hub-36
INC0010299,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,2,On Hold,2026-02-05 10:51,,Digital Commerce,KwaZulu-Natal,Checkout-Service-19
PRB0004096,Problem,"Voucher barcode not scanning at till, store W123",Gift Cards & Vouchers,1,Root Cause Analysis,2026-05-30 15:28,,Payments Ops,National / Online,GiftCard-Service-24
INC0010300,Incident,Dual-message settlement mismatch for trading date 2026-03-25,Payments & EFT,1,Closed,2026-04-01 19:21,2026-04-01 21:51,Payments Ops,Western Cape,EFT-Switch-26
INC0010301,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,4,Closed,2025-07-28 14:12,2025-07-31 03:14,Digital Commerce,Mpumalanga,Checkout-Service-23
PRB0004097,Problem,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,3,Fix in Progress,2025-10-15 12:03,,Digital Commerce,National / Online,Checkout-Service-20
INC0010302,Incident,Router config drift detected at store W214 after change,Store Network & Connectivity,3,Closed,2025-12-04 09:04,2025-12-07 09:51,Network Ops,KwaZulu-Natal,Store-Router-22
INC0010303,Incident,Gift card redemption declining with error ERR-363 at store W136,Gift Cards & Vouchers,2,Resolved,2025-11-12 19:58,2025-11-13 11:36,Payments Ops,Gauteng,GiftCard-Service-13
CHG0007087,Change Request,Emergency change: dual-message settlement mismatch for trading date 2026-06-06,Payments & EFT,3,Closed,2025-07-13 07:36,2025-07-17 03:41,Payments Ops,North West,EFT-Switch-01
INC0010304,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,4,Resolved,2026-01-19 19:52,2026-01-20 09:47,Digital Commerce,Mpumalanga,Checkout-Service-36
INC0010305,Incident,Store W218 receiving not reflecting in inventory ledger,Inventory & Stock Sync,2,Resolved,2026-04-14 13:33,2026-04-14 20:17,Merch Systems,Gauteng,Stock-Sync-Job-32
CHG0007088,Change Request,Emergency change: eft declines spiking at store w484 — response code 91,Payments & EFT,3,Closed,2025-12-03 10:55,2025-12-06 07:10,Payments Ops,Eastern Cape,EFT-Switch-12
INC0010306,Incident,EFT declines spiking at store W259 — response code 91,Payments & EFT,4,Closed,2026-01-20 17:27,2026-01-23 02:34,Payments Ops,National / Online,EFT-Switch-22
INC0010307,Incident,App crash on product page for Android 21% of sessions,Mobile App,3,Resolved,2026-02-13 11:25,2026-02-15 07:55,Digital Commerce,National / Online,Mobile-BFF-33
INC0010308,Incident,Till 12 frozen on tender screen at store W308,POS & Tills,4,Closed,2026-05-08 09:30,2026-05-11 09:57,Store Systems,Gauteng,POS-Terminal-23
PRB0004098,Problem,Store W516 on 4G failover — degraded POS response,Store Network & Connectivity,4,Resolved,2026-04-11 10:28,2026-04-14 00:27,Network Ops,KwaZulu-Natal,Store-Router-02
INC0010309,Incident,Store W256 on 4G failover — degraded POS response,Store Network & Connectivity,4,Resolved,2026-06-02 13:48,2026-06-05 23:27,Network Ops,Gauteng,Store-Router-12
CHG0007089,Change Request,Emergency change: bank switch latency above 8s causing tender timeouts,Payments & EFT,4,Scheduled,2026-05-04 17:56,,Payments Ops,Western Cape,EFT-Switch-09
INC0010310,Incident,Cycle-count variance file rejected for store W547,Inventory & Stock Sync,3,New,2026-05-10 12:18,,Merch Systems,National / Online,Stock-Sync-Job-36
INC0010311,Incident,Wi-Fi outage in backup area of store W274 — RF guns offline,Store Network & Connectivity,3,On Hold,2025-09-22 13:21,,Network Ops,Mpumalanga,Store-Router-32
INC0010312,Incident,Till 5 frozen on tender screen at store W240,POS & Tills,4,Closed,2026-05-07 16:04,2026-05-08 06:04,Store Systems,Western Cape,POS-Terminal-18
INC0010313,Incident,Barcode scanner intermittently not reading at store W128,POS & Tills,3,Resolved,2025-09-27 18:53,2025-10-01 01:56,Store Systems,KwaZulu-Natal,POS-Terminal-20
CHG0007090,Change Request,Patch release for duplicate vouchers issued to 14 members,WRewards Loyalty,3,Closed,2025-12-18 17:56,2025-12-21 02:28,Loyalty Platform,KwaZulu-Natal,Loyalty-API-23
CHG0007091,Change Request,Deploy fix for dual-message settlement mismatch for trading date 2026-04-10,Payments & EFT,2,Closed,2026-02-05 12:58,2026-02-06 07:20,Payments Ops,North West,EFT-Switch-24
INC0010314,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,2,New,2026-05-14 17:08,,Merch Systems,Gauteng,Promo-Engine-24
CHG0007092,Change Request,Patch release for eft declines spiking at store w496 — response code 91,Payments & EFT,3,Scheduled,2026-05-27 07:06,,Payments Ops,Mpumalanga,EFT-Switch-02
INC0010315,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,4,Resolved,2026-02-03 14:17,2026-02-06 16:20,Fulfilment Tech,Eastern Cape,OMS-Core-37
INC0010316,Incident,Checkout payment step returning 502 for 3% of sessions,Online Checkout,4,Closed,2026-06-23 12:56,2026-06-25 09:41,Digital Commerce,North West,Checkout-Service-34
INC0010317,Incident,EDI 856 backlog of 40 messages at gateway,Supply Chain EDI,4,Closed,2026-02-28 08:27,2026-03-03 16:32,Integration Hub,KwaZulu-Natal,EDI-Gateway-21
INC0010318,Incident,Barcode scanner intermittently not reading at store W355,POS & Tills,3,On Hold,2026-05-11 15:53,,Store Systems,Gauteng,POS-Terminal-07
CHG0007093,Change Request,Config change: as2 certificate expiry caused vendor freshco channel outage,Supply Chain EDI,3,Closed,2025-12-23 09:25,2025-12-27 02:00,Integration Hub,National / Online,EDI-Gateway-34
CHG0007094,Change Request,Config change: duplicate vouchers issued to 40 members,WRewards Loyalty,3,Closed,2026-03-10 14:58,2026-03-13 20:42,Loyalty Platform,Limpopo,Loyalty-API-19
INC0010319,Incident,"Primary link down at store W226, all cloud services impacted",Store Network & Connectivity,3,Resolved,2026-06-30 15:51,2026-07-03 06:55,Network Ops,Free State,Store-Router-31
CHG0007095,Change Request,Deploy fix for as2 certificate expiry caused vendor agrisupply channel outage,Supply Chain EDI,1,Closed,2026-05-26 07:47,2026-05-26 11:55,Integration Hub,Western Cape,EDI-Gateway-35
INC0010320,Incident,Store W211 receiving not reflecting in inventory ledger,Inventory & Stock Sync,3,On Hold,2025-12-03 11:05,,Merch Systems,Western Cape,Stock-Sync-Job-38
PRB0004099,Problem,Basket total mismatch after promo applied at checkout,Online Checkout,3,Closed,2025-12-09 14:30,2025-12-11 08:54,Digital Commerce,Mpumalanga,Checkout-Service-14
INC0010321,Incident,Stock sync job overran window by 38 hours — online availability stale,Inventory & Stock Sync,2,New,2026-04-27 12:14,,Merch Systems,Mpumalanga,Stock-Sync-Job-30
INC0010322,Incident,Courier manifest not generated for 43 orders,Order Fulfilment,3,Closed,2026-04-25 07:52,2026-04-27 15:02,Fulfilment Tech,Gauteng,OMS-Core-28
INC0010323,Incident,Voucher PRM-4395 redeemable multiple times — exposure risk,Gift Cards & Vouchers,3,Closed,2025-11-29 14:14,2025-12-03 17:28,Payments Ops,Gauteng,GiftCard-Service-35
CHG0007096,Change Request,Deploy fix for app crash on product page for android 29% of sessions,Mobile App,4,Implement,2026-01-12 17:12,,Digital Commerce,Mpumalanga,Mobile-BFF-36
PRB0004100,Problem,Store W339 on 4G failover — degraded POS response,Store Network & Connectivity,4,Root Cause Analysis,2026-01-22 16:27,,Network Ops,National / Online,Store-Router-03
INC0010324,Incident,App crash on product page for Android 10% of sessions,Mobile App,4,Resolved,2026-01-23 10:17,2026-01-25 04:04,Digital Commerce,Eastern Cape,Mobile-BFF-28
PRB0004101,Problem,AS2 certificate expiry caused vendor FreshCo channel outage,Supply Chain EDI,3,Fix in Progress,2026-05-02 11:08,,Integration Hub,Western Cape,EDI-Gateway-06
PRB0004102,Problem,"Receipt printer failure on till 5, store W120",POS & Tills,4,Resolved,2025-12-11 20:19,2025-12-13 05:50,Store Systems,Gauteng,POS-Terminal-22
PRB0004103,Problem,Card payments timing out across Western Cape stores,Payments & EFT,2,Root Cause Analysis,2025-11-21 18:53,,Payments Ops,Eastern Cape,EFT-Switch-09
INC0010325,Incident,"Mismatch between shelf-edge label and till price, store W515",Pricing & Promotions,4,In Progress,2025-10-16 10:52,,Merch Systems,KwaZulu-Natal,Promo-Engine-21
INC0010326,Incident,EFT declines spiking at store W189 — response code 91,Payments & EFT,3,Closed,2025-12-07 14:49,2025-12-08 12:03,Payments Ops,Mpumalanga,EFT-Switch-13
INC0010327,Incident,WRewards linking failing in app with error ERR-530,WRewards Loyalty,2,Resolved,2026-06-07 14:30,2026-06-07 21:09,Loyalty Platform,Eastern Cape,Loyalty-API-02
INC0010328,Incident,Delivery slot selection failing for Gauteng customers,Online Checkout,3,Closed,2025-12-05 08:56,2025-12-06 15:44,Digital Commerce,Gauteng,Checkout-Service-09
CHG0007097,Change Request,Config change: bulk corporate gift card load failed for 26 cards,Gift Cards & Vouchers,3,Closed,2026-05-22 13:21,2026-05-23 09:09,Payments Ops,Gauteng,GiftCard-Service-23
CHG0007098,Change Request,Config change: as2 certificate expiry caused vendor freshco channel outage,Supply Chain EDI,2,Implement,2026-02-27 10:23,,Integration Hub,KwaZulu-Natal,EDI-Gateway-01
INC0010329,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Closed,2026-01-30 06:30,2026-02-03 08:34,Payments Ops,Eastern Cape,EFT-Switch-12
CHG0007099,Change Request,Config change: store w531 on 4g failover — degraded pos response,Store Network & Connectivity,3,Implement,2025-10-01 18:29,,Network Ops,Northern Cape,Store-Router-22
INC0010330,Incident,Delivery slot selection failing for Free State customers,Online Checkout,2,Closed,2026-04-27 12:28,2026-04-28 02:49,Digital Commerce,KwaZulu-Natal,Checkout-Service-04
CHG0007100,Change Request,"Deploy fix for promo price not applying at till for advertised line, store w170",Pricing & Promotions,3,Closed,2026-04-05 06:42,2026-04-05 16:36,Merch Systems,Gauteng,Promo-Engine-32
INC0010331,Incident,Courier manifest not generated for 52 orders,Order Fulfilment,3,Closed,2026-06-01 16:26,2026-06-03 15:44,Fulfilment Tech,KwaZulu-Natal,OMS-Core-11
CHG0007101,Change Request,Emergency change: click-and-collect orders stuck in allocated for store w213,Order Fulfilment,4,Assess,2026-06-17 09:13,,Fulfilment Tech,Gauteng,OMS-Core-12
INC0010332,Incident,Stock sync job overran window by 33 hours — online availability stale,Inventory & Stock Sync,4,In Progress,2025-07-22 11:57,,Merch Systems,Eastern Cape,Stock-Sync-Job-05
INC0010333,Incident,Checkout payment step returning 502 for 11% of sessions,Online Checkout,1,New,2026-06-01 07:22,,Digital Commerce,Western Cape,Checkout-Service-27
CHG0007102,Change Request,Config change: edi 856 backlog of 3 messages at gateway,Supply Chain EDI,3,Authorise,2026-02-26 14:21,,Integration Hub,KwaZulu-Natal,EDI-Gateway-34
CHG0007103,Change Request,Emergency change: barcode scanner intermittently not reading at store w176,POS & Tills,3,Implement,2026-02-25 12:41,,Store Systems,Gauteng,POS-Terminal-37
INC0010334,Incident,Price file failed to deploy to 36 stores overnight,Pricing & Promotions,3,Closed,2025-08-24 08:08,2025-08-24 16:03,Merch Systems,Eastern Cape,Promo-Engine-17
INC0010335,Incident,AS2 certificate expiry caused vendor AgriSupply channel outage,Supply Chain EDI,4,Closed,2026-05-07 14:39,2026-05-09 01:56,Integration Hub,Western Cape,EDI-Gateway-16
PRB0004104,Problem,3-D Secure redirect loop on mobile web checkout,Online Checkout,1,Resolved,2026-04-28 17:20,2026-04-29 01:23,Digital Commerce,National / Online,Checkout-Service-28
PRB0004105,Problem,Till 11 frozen on tender screen at store W226,POS & Tills,2,Resolved,2026-03-27 15:09,2026-03-27 22:50,Store Systems,Western Cape,POS-Terminal-04
INC0010336,Incident,Picking app not releasing waves at DC 12,Order Fulfilment,3,In Progress,2026-03-12 07:06,,Fulfilment Tech,National / Online,OMS-Core-24
CHG0007104,Change Request,Emergency change: eft declines spiking at store w371 — response code 91,Payments & EFT,3,Closed,2026-04-09 16:33,2026-04-10 03:53,Payments Ops,Western Cape,EFT-Switch-33
INC0010337,Incident,Barcode scanner intermittently not reading at store W191,POS & Tills,3,Resolved,2025-12-20 10:07,2025-12-23 00:50,Store Systems,Western Cape,POS-Terminal-06
CHG0007105,Change Request,Config change: invoice edi mismatch blocking grn for dc 1,Supply Chain EDI,2,Closed,2025-08-15 09:36,2025-08-15 14:13,Integration Hub,Western Cape,EDI-Gateway-26
CHG0007106,Change Request,Patch release for picking app not releasing waves at dc 13,Order Fulfilment,2,Assess,2026-06-17 10:38,,Fulfilment Tech,National / Online,OMS-Core-37
CHG0007107,Change Request,Config change: till 12 frozen on tender screen at store w326,POS & Tills,3,Authorise,2026-06-03 16:19,,Store Systems,Gauteng,POS-Terminal-31
INC0010338,Incident,Card payments timing out across Gauteng stores,Payments & EFT,2,Closed,2026-01-22 15:49,2026-01-22 21:32,Payments Ops,Gauteng,EFT-Switch-15
CHG0007108,Change Request,Emergency change: wrewards points not awarded on qualifying basket,WRewards Loyalty,3,Implement,2026-03-19 13:50,,Loyalty Platform,North West,Loyalty-API-34
CHG0007109,Change Request,Patch release for pos terminal offline — store w287 unable to trade on 13 lanes,POS & Tills,4,Assess,2025-12-04 06:08,,Store Systems,Western Cape,POS-Terminal-30
INC0010339,Incident,"Mismatch between shelf-edge label and till price, store W240",Pricing & Promotions,3,Closed,2025-11-11 15:18,2025-11-14 08:09,Merch Systems,KwaZulu-Natal,Promo-Engine-01
INC0010340,Incident,Card payments timing out across Gauteng stores,Payments & EFT,4,In Progress,2025-11-08 12:37,,Payments Ops,Free State,EFT-Switch-31
INC0010341,Incident,Checkout payment step returning 502 for 33% of sessions,Online Checkout,2,Closed,2025-08-13 16:48,2025-08-14 01:14,Digital Commerce,KwaZulu-Natal,Checkout-Service-25
INC0010342,Incident,Click-and-collect orders stuck in ALLOCATED for store W386,Order Fulfilment,4,In Progress,2026-04-23 09:46,,Fulfilment Tech,Gauteng,OMS-Core-14
INC0010343,Incident,"Loyalty card lookup timing out at till, store W512",WRewards Loyalty,3,Resolved,2026-03-30 18:56,2026-03-31 09:14,Loyalty Platform,KwaZulu-Natal,Loyalty-API-32
PRB0004106,Problem,App checkout button unresponsive on iOS 61,Mobile App,3,Fix in Progress,2026-03-08 15:14,,Digital Commerce,Northern Cape,Mobile-BFF-13
CHG0007110,Change Request,Deploy fix for price file failed to deploy to 29 stores overnight,Pricing & Promotions,2,Scheduled,2025-12-20 07:31,,Merch Systems,Eastern Cape,Promo-Engine-08
INC0010344,Incident,Negative SOH values appearing for 8 SKUs after nightly sync,Inventory & Stock Sync,3,Resolved,2025-12-01 10:05,2025-12-05 14:31,Merch Systems,Gauteng,Stock-Sync-Job-16
INC0010345,Incident,Checkout payment step returning 502 for 39% of sessions,Online Checkout,2,Closed,2026-05-16 18:11,2026-05-16 21:30,Digital Commerce,North West,Checkout-Service-07
INC0010346,Incident,"Receipt printer failure on till 12, store W377",POS & Tills,4,Resolved,2026-01-22 06:02,2026-01-22 15:31,Store Systems,Eastern Cape,POS-Terminal-35
INC0010347,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,4,New,2025-11-07 19:44,,Digital Commerce,Free State,Checkout-Service-11
PRB0004107,Problem,"Loyalty card lookup timing out at till, store W372",WRewards Loyalty,3,New,2026-03-22 09:40,,Loyalty Platform,Eastern Cape,Loyalty-API-28
INC0010348,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,2,Closed,2026-02-05 07:46,2026-02-05 20:55,Digital Commerce,Western Cape,Checkout-Service-03
PRB0004108,Problem,Stock sync job overran window by 49 hours — online availability stale,Inventory & Stock Sync,1,Resolved,2025-08-07 14:43,2025-08-07 15:43,Merch Systems,National / Online,Stock-Sync-Job-23
CHG0007111,Change Request,Config change: barcode scanner intermittently not reading at store w504,POS & Tills,2,Authorise,2026-06-21 11:39,,Store Systems,Western Cape,POS-Terminal-38
INC0010349,Incident,Product images not propagating from PIM to web,Product Master Data,2,Resolved,2026-03-16 09:22,2026-03-17 01:42,Data Services,Gauteng,PIM-Hub-26
INC0010350,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,3,Resolved,2025-07-09 19:33,2025-07-10 20:48,Fulfilment Tech,National / Online,OMS-Core-36
INC0010351,Incident,App checkout button unresponsive on iOS 49,Mobile App,4,Closed,2025-10-05 15:29,2025-10-09 17:30,Digital Commerce,Gauteng,Mobile-BFF-14
INC0010352,Incident,Order ORD-418564 split incorrectly across fulfilment nodes,Order Fulfilment,3,Closed,2026-06-15 17:45,2026-06-18 13:32,Fulfilment Tech,Gauteng,OMS-Core-03
INC0010353,Incident,Stock sync job overran window by 14 hours — online availability stale,Inventory & Stock Sync,3,Closed,2025-12-24 15:47,2025-12-28 02:34,Merch Systems,Gauteng,Stock-Sync-Job-06
CHG0007112,Change Request,Config change: invoice edi mismatch blocking grn for dc 7,Supply Chain EDI,4,Scheduled,2025-09-15 09:55,,Integration Hub,North West,EDI-Gateway-03
CHG0007113,Change Request,"Deploy fix for mismatch between shelf-edge label and till price, store w303",Pricing & Promotions,3,Scheduled,2025-10-18 08:14,,Merch Systems,Gauteng,Promo-Engine-21
CHG0007114,Change Request,Patch release for app crash on product page for android 51% of sessions,Mobile App,2,Closed,2025-11-27 13:16,2025-11-28 03:28,Digital Commerce,Eastern Cape,Mobile-BFF-21
PRB0004109,Problem,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,3,New,2025-10-02 08:38,,Digital Commerce,KwaZulu-Natal,Checkout-Service-40
PRB0004110,Problem,"Loyalty card lookup timing out at till, store W493",WRewards Loyalty,2,Closed,2026-05-14 18:23,2026-05-15 02:43,Loyalty Platform,Western Cape,Loyalty-API-29
INC0010354,Incident,Store W559 receiving not reflecting in inventory ledger,Inventory & Stock Sync,3,Closed,2026-04-10 17:30,2026-04-13 02:02,Merch Systems,KwaZulu-Natal,Stock-Sync-Job-14
PRB0004111,Problem,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,3,Fix in Progress,2025-09-06 16:45,,Fulfilment Tech,North West,OMS-Core-34
INC0010355,Incident,"POS EOD batch stuck at store W340, trading day not closed",POS & Tills,3,Resolved,2025-12-28 07:28,2026-01-01 05:21,Store Systems,Gauteng,POS-Terminal-04
PRB0004112,Problem,"Promo price not applying at till for advertised line, store W412",Pricing & Promotions,2,Root Cause Analysis,2026-04-03 20:20,,Merch Systems,National / Online,Promo-Engine-02
INC0010356,Incident,Stock sync job overran window by 46 hours — online availability stale,Inventory & Stock Sync,3,Closed,2025-08-01 07:26,2025-08-01 19:23,Merch Systems,KwaZulu-Natal,Stock-Sync-Job-07
CHG0007115,Change Request,Deploy fix for stock-on-hand not syncing to online for dc 5 range,Inventory & Stock Sync,3,Closed,2026-06-01 07:41,2026-06-04 12:43,Merch Systems,Eastern Cape,Stock-Sync-Job-23
INC0010357,Incident,POS terminal offline — store W379 unable to trade on 50 lanes,POS & Tills,4,Resolved,2026-06-20 10:37,2026-06-22 15:26,Store Systems,Northern Cape,POS-Terminal-11
PRB0004113,Problem,Purchase order acknowledgements not reaching vendor DairyDirect,Supply Chain EDI,1,Closed,2026-04-12 16:53,2026-04-13 00:28,Integration Hub,Western Cape,EDI-Gateway-30
CHG0007116,Change Request,Emergency change: store w510 on 4g failover — degraded pos response,Store Network & Connectivity,3,Scheduled,2026-03-09 13:12,,Network Ops,Gauteng,Store-Router-37
CHG0007117,Change Request,Deploy fix for delivery slot selection failing for free state customers,Online Checkout,3,Implement,2025-11-18 08:43,,Digital Commerce,Free State,Checkout-Service-14
INC0010358,Incident,Delivery slot selection failing for Eastern Cape customers,Online Checkout,2,Closed,2026-06-08 16:14,2026-06-09 05:38,Digital Commerce,Gauteng,Checkout-Service-13
CHG0007118,Change Request,"Deploy fix for receipt printer failure on till 14, store w165",POS & Tills,4,Closed,2025-09-21 10:26,2025-09-21 23:22,Store Systems,National / Online,POS-Terminal-31
CHG0007119,Change Request,Config change: high packet loss to data centre from free state stores,Store Network & Connectivity,2,Scheduled,2025-09-27 14:26,,Network Ops,Gauteng,Store-Router-05
PRB0004114,Problem,ASN messages from vendor TextilePro failing schema validation,Supply Chain EDI,4,Root Cause Analysis,2025-11-27 10:24,,Integration Hub,Western Cape,EDI-Gateway-05
INC0010359,Incident,Delivery slot selection failing for Limpopo customers,Online Checkout,2,New,2026-01-12 11:43,,Digital Commerce,KwaZulu-Natal,Checkout-Service-05
CHG0007120,Change Request,Patch release for click-and-collect orders stuck in allocated for store w277,Order Fulfilment,3,Authorise,2026-04-12 15:38,,Fulfilment Tech,Gauteng,OMS-Core-02
INC0010360,Incident,Duplicate vouchers issued to 57 members,WRewards Loyalty,4,Resolved,2026-04-04 06:59,2026-04-07 19:54,Loyalty Platform,Eastern Cape,Loyalty-API-12
PRB0004115,Problem,Picking app not releasing waves at DC 12,Order Fulfilment,2,Fix in Progress,2025-09-01 13:31,,Fulfilment Tech,National / Online,OMS-Core-37
INC0010361,Incident,"Tap-to-pay failing on new terminals, store W443",Payments & EFT,2,Closed,2026-04-01 14:02,2026-04-02 04:09,Payments Ops,Mpumalanga,EFT-Switch-34
INC0010362,Incident,Unit-of-measure mismatch causing receiving failures at DC 8,Product Master Data,3,Closed,2026-02-12 15:23,2026-02-16 16:04,Data Services,Limpopo,PIM-Hub-38
INC0010363,Incident,Order ORD-872965 split incorrectly across fulfilment nodes,Order Fulfilment,3,Closed,2026-06-04 17:33,2026-06-08 14:25,Fulfilment Tech,Western Cape,OMS-Core-11
INC0010364,Incident,Barcode scanner intermittently not reading at store W534,POS & Tills,4,Closed,2026-05-25 20:24,2026-05-27 18:01,Store Systems,National / Online,POS-Terminal-37
PRB0004116,Problem,Basket total mismatch after promo applied at checkout,Online Checkout,4,Root Cause Analysis,2025-10-29 16:58,,Digital Commerce,KwaZulu-Natal,Checkout-Service-40
INC0010365,Incident,EFT declines spiking at store W404 — response code 91,Payments & EFT,3,Resolved,2025-09-01 07:57,2025-09-02 18:36,Payments Ops,Gauteng,EFT-Switch-22
INC0010366,Incident,Order ORD-494802 split incorrectly across fulfilment nodes,Order Fulfilment,4,New,2026-06-01 14:33,,Fulfilment Tech,North West,OMS-Core-01
INC0010367,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,3,Closed,2025-11-02 09:43,2025-11-05 01:13,Merch Systems,National / Online,Promo-Engine-35
PRB0004117,Problem,Price file failed to deploy to 21 stores overnight,Pricing & Promotions,4,Closed,2026-05-09 08:46,2026-05-12 13:31,Merch Systems,National / Online,Promo-Engine-39
PRB0004118,Problem,Till 6 frozen on tender screen at store W330,POS & Tills,3,Root Cause Analysis,2026-06-06 08:27,,Store Systems,Limpopo,POS-Terminal-14
INC0010368,Incident,Store W509 on 4G failover — degraded POS response,Store Network & Connectivity,4,Closed,2026-05-28 13:58,2026-06-01 00:00,Network Ops,KwaZulu-Natal,Store-Router-17
INC0010369,Incident,WRewards linking failing in app with error ERR-682,WRewards Loyalty,3,In Progress,2026-04-15 06:29,,Loyalty Platform,Limpopo,Loyalty-API-12
PRB0004119,Problem,3-D Secure redirect loop on mobile web checkout,Online Checkout,3,Closed,2025-07-14 06:37,2025-07-16 02:07,Digital Commerce,Eastern Cape,Checkout-Service-32
INC0010370,Incident,Card payments timing out across Eastern Cape stores,Payments & EFT,1,Closed,2026-05-25 16:25,2026-05-25 17:56,Payments Ops,KwaZulu-Natal,EFT-Switch-10
CHG0007121,Change Request,Emergency change: barcode scanner intermittently not reading at store w164,POS & Tills,4,Closed,2025-11-20 20:05,2025-11-22 05:13,Store Systems,Gauteng,POS-Terminal-16
CHG0007122,Change Request,Patch release for high packet loss to data centre from western cape stores,Store Network & Connectivity,3,Closed,2026-03-04 06:33,2026-03-08 05:39,Network Ops,Western Cape,Store-Router-32
INC0010371,Incident,"Tap-to-pay failing on new terminals, store W116",Payments & EFT,3,Closed,2025-09-02 06:19,2025-09-06 02:47,Payments Ops,Free State,EFT-Switch-18
CHG0007123,Change Request,Config change: courier manifest not generated for 7 orders,Order Fulfilment,3,Implement,2026-01-20 06:59,,Fulfilment Tech,Western Cape,OMS-Core-20
INC0010372,Incident,Dual-message settlement mismatch for trading date 2026-04-25,Payments & EFT,3,Closed,2026-06-09 09:29,2026-06-10 13:40,Payments Ops,Limpopo,EFT-Switch-20
INC0010373,Incident,App checkout button unresponsive on iOS 5,Mobile App,1,In Progress,2026-04-05 13:38,,Digital Commerce,Gauteng,Mobile-BFF-17
PRB0004120,Problem,Promotion PRM-5875 double-discounting online,Pricing & Promotions,3,New,2025-11-10 06:57,,Merch Systems,Gauteng,Promo-Engine-25
CHG0007124,Change Request,Emergency change: pos terminal offline — store w267 unable to trade on 19 lanes,POS & Tills,2,Scheduled,2025-07-02 07:58,,Store Systems,KwaZulu-Natal,POS-Terminal-16
CHG0007125,Change Request,"Patch release for receipt printer failure on till 4, store w341",POS & Tills,4,Scheduled,2025-08-10 14:01,,Store Systems,Western Cape,POS-Terminal-25
